author_channel_id,community_id,community_size,grado_aa,author_name,n_comentarios,n_videos
UCV0iizTBoOfdAFX_thfI9BA,1,126,127,@BenjaminLarios-jd8nk,1.0,1.0
UCV0lM03g5fg5pbPj97-sAtA,3,55,48,@genarodelgado3929,1.0,1.0
UCV3fr-YOixFKCZBbJP1-X4w,2,61,31,@albertoshernandez5251,5.0,1.0
UCVC2QugcI1G4RvlCiUqd1aQ,4,28,9,@rwdm76,2.0,1.0
UCVQf0tzL7xRzFJsABVVULpg,2,61,18,@DennisseLopetegi,1.0,1.0
UCVdjCrh4tQoX3haNAZv-n5A,6,18,17,@aurahernandez5646,1.0,1.0
UCVhif9eV0f8plICen2DnpKA,4,28,5,@blogarteplus,1.0,1.0
UCW-JC6lebVmf2P1dmY_L94g,3,55,48,@dinoraoroxon5771,1.0,1.0
UCW80DaMjQlEUibC98Cot-Dg,3,55,48,@rogeraldana4289,1.0,1.0
UCWIZUtKJ636y-4TYrNvok0g,1,126,127,@cesarandreas7824,1.0,1.0
UCWWkebAekppaL5b5CNlppuw,9,3,2,@ninettmartinez425,1.0,1.0
UCWaRixDdpgllTBf4V0jPnKQ,2,61,31,@hectormaaz5523,2.0,1.0
UCWoAVGVqCn4xtINCMOTM4jg,3,55,48,@OmarMartinez-vv8re,1.0,1.0
UCWvntqPQx99k_Z_skWKqNSA,2,61,31,@AntonioChiyal-x5s,1.0,1.0
UCXN2s7DwTJm33xO-pNkAdaA,2,61,12,@edithsan7688,1.0,1.0
UCXO1BBohNWXkK9SBDAG2ySg,4,28,15,@JBFlute92,1.0,1.0
UCXSkL3ejZ8qWYyF_M7s_QKA,1,126,127,@JacintaTzoy,1.0,1.0
UCXVLc8CmAO813ubM-fLvCDw,4,28,15,@herminiasaquimux7565,1.0,1.0
UCXXh7yg5KUFIWylTiKVEFKQ,1,126,127,@MrDuenderojo,2.0,1.0
UCXgr7vXlRrsaskPdo097kGA,1,126,127,@Rogergh-nw4oj,1.0,1.0
UCXl30Y_upRqbti52fmjK4YA,4,28,15,@capitanfrans,1.0,1.0
UCXmrpc6Li0spcKxtS0Q_ptg,5,25,24,@melvinperez6710,1.0,1.0
UCXr8_5WtGeipe4haOoQDgyQ,1,126,127,@amyherrera7352,1.0,1.0
UCY7Hq7F9Lnucf-Yr6JkHZNw,5,25,24,@maynorcalel1442,1.0,1.0
UCYN4wSQ1Sx4_LurxLlW7MPg,1,126,127,@belarminavillatoro6474,1.0,1.0
UCYwpX26TrCxq8TvbKGRYLXA,1,126,127,@beneficioelcaminovillacana8540,1.0,1.0
UCZ51R_9Q9C0c8I3pAWhtmjQ,1,126,127,@belvettzapeta1251,1.0,1.0
UCZFQwqh90apuL8eFhvRBkUg,2,61,31,@luisricardo9671,1.0,1.0
UCZIQnb1fkwe39Iw2TAu-bGA,4,28,5,@jorgegomez2237,1.0,1.0
UCZLG9qH0tUjNhEGFIUt0CYw,1,126,127,@SoniaMarroquin-y6e,1.0,1.0
UCZOmq6MwFDVoCaEl99BRRaw,4,28,9,@daniloarevalo3170,1.0,1.0
UCZeIIQrGAedW8tCbKWmGY-A,3,55,48,@mariocordon8873,1.0,1.0
UCZjm6U576nX8WOiLhmMR3bw,6,18,17,@MariaNavarroYT,1.0,1.0
UC_3xuTXvMIWU5MYP9HkJ3vQ,2,61,12,@Historia-wm4os,1.0,1.0
UC_6KbBY1bsYXz9fwFS0eQRg,4,28,9,@imrcp5694,1.0,1.0
UC_LYoGs5C3mbZKZuKuqYCvw,3,55,48,@javiercifuentesarchila6041,1.0,1.0
UC_NRVt2UP88ZNTwzrZ66JSg,14,1,0,@aditalissethevasquezrojas8039,1.0,1.0
UC_ljZ1hZXR9pzexFz87P5ZA,5,25,24,@ChRiStOpHeR7969,1.0,1.0
UCa36MjQLoPAmgJo-R3G8WQA,2,61,31,@elsasalguero6914,1.0,1.0
UCaKAjTW9MVub_clgr4DRYjQ,3,55,48,@josecastillo4390,1.0,1.0
UCaT4saRcyqCLE657Rq2hhZQ,2,61,31,@elmilenial4064,1.0,1.0
UCaT6M2zp7X6r6Whd8Vv3kHQ,5,25,24,@alexarcos8349,1.0,1.0
UCat2qkYvqmtDNEmo2PVuhXw,6,18,17,@DoraSalas-j5o,1.0,1.0
UCbNanjFI51cwGqMAb2rOrBw,6,18,17,@RosaMontesdeOca777,1.0,1.0
UCbYoNG5J3Au5BqtbXogfEFw,2,61,18,@Luis-gn3fj,1.0,1.0
UCbrtvygfRT6QXqWDNrOf-cA,4,28,23,@Alejandro00710,2.0,2.0
UCcFIBN-rtC3d3hXeuN5TfWw,4,28,15,@DenisRMC,1.0,1.0
UCc_F88PzGWtA1OPNUEASulA,4,28,15,@rockyscarlet,1.0,1.0
UCcfdg8crmMJwEuLUsAhV7yg,1,126,127,@RolandoRaguay,1.0,1.0
UCdFlugHJJa4l3YqWuNRmvXw,3,55,54,@MarcosCarillo-b1r,2.0,2.0
UCdQAuWwyC99MB7Y02Umj26Q,4,28,15,@miguelbran1268,1.0,1.0
UCe8JZoYkX5oKUZyivHYdXhw,3,55,48,@FernandoGarcia-jg1fj,1.0,1.0
UCeDNEtI8_a42bZ47wJiJMwQ,3,55,48,@EdgarcalderonCalderong,1.0,1.0
UCeQk-WfEA-cJRq4EKeE7TOw,2,61,31,@franciscojuarez9223,1.0,1.0
UCefAH1MbvADWUjE9WVcB9EQ,4,28,15,@jabriz8152,1.0,1.0
UCf5lnNZF7Qrtli9v4N_23WQ,2,61,18,@CarlosCortez-v5r,1.0,1.0
UCfM3nrxtTQMY5jFx1v1J4Gg,1,126,127,@edgarroldan5539,1.0,1.0
UCfRqgt2O-vjzUDMZY_tnxQw,3,55,6,@Williams-Garcia67E,1.0,1.0
UCfXykdbSU97rj987LDUGfvg,2,61,12,@MariaSantos-c8y3h,1.0,1.0
UCfjhejO7LZy4doXURa7LZCQ,2,61,12,@HonwayLee-z5g,1.0,1.0
UCfo_yUPzy1f1POwwZxhZ06Q,2,61,31,@lara11roberto,1.0,1.0
UCg3eIfd7BrsLEqS0BLkftHA,2,61,18,@ErmePérez-q4s,3.0,1.0
