id,bipartite,tipo,nombre,n_comentarios,n_videos,titulo,canal,categoria
UCTP3O0rMnc8z8v8jaDQwL0w,autor,autor,@RobertoZelaya-x1v,1.0,1.0,,,
UCTTILH6QCIxbTnEWxwRqs1g,autor,autor,@3762Jorge,1.0,1.0,,,
UCThW2XNsAaBKme5PUt7n-Zg,autor,autor,@thelmamoran8565,1.0,1.0,,,
UCTwSut16JyAg3mX6LVUNGqA,autor,autor,@SuperVictor2005,1.0,1.0,,,
UCTylKrsqkrBKIqubMu_5N0Q,autor,autor,@edwingeovanymarroquinmarro6684,1.0,1.0,,,
UCUIIIPTVDVHAXqhC_5V6lPA,autor,autor,@gorrarota,1.0,1.0,,,
UCUoYsrx1oZnCZ0usbBJn4fA,autor,autor,@AnaDiaz-re9sq,1.0,1.0,,,
UCV0iizTBoOfdAFX_thfI9BA,autor,autor,@BenjaminLarios-jd8nk,1.0,1.0,,,
UCV0lM03g5fg5pbPj97-sAtA,autor,autor,@genarodelgado3929,1.0,1.0,,,
UCV3fr-YOixFKCZBbJP1-X4w,autor,autor,@albertoshernandez5251,5.0,1.0,,,
UCVC2QugcI1G4RvlCiUqd1aQ,autor,autor,@rwdm76,2.0,1.0,,,
UCVQf0tzL7xRzFJsABVVULpg,autor,autor,@DennisseLopetegi,1.0,1.0,,,
UCVdjCrh4tQoX3haNAZv-n5A,autor,autor,@aurahernandez5646,1.0,1.0,,,
UCVhif9eV0f8plICen2DnpKA,autor,autor,@blogarteplus,1.0,1.0,,,
UCW-JC6lebVmf2P1dmY_L94g,autor,autor,@dinoraoroxon5771,1.0,1.0,,,
UCW80DaMjQlEUibC98Cot-Dg,autor,autor,@rogeraldana4289,1.0,1.0,,,
UCWIZUtKJ636y-4TYrNvok0g,autor,autor,@cesarandreas7824,1.0,1.0,,,
UCWWkebAekppaL5b5CNlppuw,autor,autor,@ninettmartinez425,1.0,1.0,,,
UCWaRixDdpgllTBf4V0jPnKQ,autor,autor,@hectormaaz5523,2.0,1.0,,,
UCWoAVGVqCn4xtINCMOTM4jg,autor,autor,@OmarMartinez-vv8re,1.0,1.0,,,
UCWvntqPQx99k_Z_skWKqNSA,autor,autor,@AntonioChiyal-x5s,1.0,1.0,,,
UCXN2s7DwTJm33xO-pNkAdaA,autor,autor,@edithsan7688,1.0,1.0,,,
UCXO1BBohNWXkK9SBDAG2ySg,autor,autor,@JBFlute92,1.0,1.0,,,
UCXSkL3ejZ8qWYyF_M7s_QKA,autor,autor,@JacintaTzoy,1.0,1.0,,,
UCXVLc8CmAO813ubM-fLvCDw,autor,autor,@herminiasaquimux7565,1.0,1.0,,,
UCXXh7yg5KUFIWylTiKVEFKQ,autor,autor,@MrDuenderojo,2.0,1.0,,,
UCXgr7vXlRrsaskPdo097kGA,autor,autor,@Rogergh-nw4oj,1.0,1.0,,,
UCXl30Y_upRqbti52fmjK4YA,autor,autor,@capitanfrans,1.0,1.0,,,
UCXmrpc6Li0spcKxtS0Q_ptg,autor,autor,@melvinperez6710,1.0,1.0,,,
UCXr8_5WtGeipe4haOoQDgyQ,autor,autor,@amyherrera7352,1.0,1.0,,,
UCY7Hq7F9Lnucf-Yr6JkHZNw,autor,autor,@maynorcalel1442,1.0,1.0,,,
UCYN4wSQ1Sx4_LurxLlW7MPg,autor,autor,@belarminavillatoro6474,1.0,1.0,,,
UCYwpX26TrCxq8TvbKGRYLXA,autor,autor,@beneficioelcaminovillacana8540,1.0,1.0,,,
UCZ51R_9Q9C0c8I3pAWhtmjQ,autor,autor,@belvettzapeta1251,1.0,1.0,,,
UCZFQwqh90apuL8eFhvRBkUg,autor,autor,@luisricardo9671,1.0,1.0,,,
UCZIQnb1fkwe39Iw2TAu-bGA,autor,autor,@jorgegomez2237,1.0,1.0,,,
UCZLG9qH0tUjNhEGFIUt0CYw,autor,autor,@SoniaMarroquin-y6e,1.0,1.0,,,
UCZOmq6MwFDVoCaEl99BRRaw,autor,autor,@daniloarevalo3170,1.0,1.0,,,
UCZeIIQrGAedW8tCbKWmGY-A,autor,autor,@mariocordon8873,1.0,1.0,,,
UCZjm6U576nX8WOiLhmMR3bw,autor,autor,@MariaNavarroYT,1.0,1.0,,,
UC_3xuTXvMIWU5MYP9HkJ3vQ,autor,autor,@Historia-wm4os,1.0,1.0,,,
UC_6KbBY1bsYXz9fwFS0eQRg,autor,autor,@imrcp5694,1.0,1.0,,,
UC_LYoGs5C3mbZKZuKuqYCvw,autor,autor,@javiercifuentesarchila6041,1.0,1.0,,,
UC_NRVt2UP88ZNTwzrZ66JSg,autor,autor,@aditalissethevasquezrojas8039,1.0,1.0,,,
UC_ljZ1hZXR9pzexFz87P5ZA,autor,autor,@ChRiStOpHeR7969,1.0,1.0,,,
UCa36MjQLoPAmgJo-R3G8WQA,autor,autor,@elsasalguero6914,1.0,1.0,,,
UCaKAjTW9MVub_clgr4DRYjQ,autor,autor,@josecastillo4390,1.0,1.0,,,
UCaT4saRcyqCLE657Rq2hhZQ,autor,autor,@elmilenial4064,1.0,1.0,,,
UCaT6M2zp7X6r6Whd8Vv3kHQ,autor,autor,@alexarcos8349,1.0,1.0,,,
UCat2qkYvqmtDNEmo2PVuhXw,autor,autor,@DoraSalas-j5o,1.0,1.0,,,
UCbNanjFI51cwGqMAb2rOrBw,autor,autor,@RosaMontesdeOca777,1.0,1.0,,,
UCbYoNG5J3Au5BqtbXogfEFw,autor,autor,@Luis-gn3fj,1.0,1.0,,,
UCbrtvygfRT6QXqWDNrOf-cA,autor,autor,@Alejandro00710,2.0,2.0,,,
UCcFIBN-rtC3d3hXeuN5TfWw,autor,autor,@DenisRMC,1.0,1.0,,,
UCc_F88PzGWtA1OPNUEASulA,autor,autor,@rockyscarlet,1.0,1.0,,,
UCcfdg8crmMJwEuLUsAhV7yg,autor,autor,@RolandoRaguay,1.0,1.0,,,
UCdFlugHJJa4l3YqWuNRmvXw,autor,autor,@MarcosCarillo-b1r,2.0,2.0,,,
UCdQAuWwyC99MB7Y02Umj26Q,autor,autor,@miguelbran1268,1.0,1.0,,,
