author_1,author_2,weight
UCV3fr-YOixFKCZBbJP1-X4w,UCa36MjQLoPAmgJo-R3G8WQA,1
UCV3fr-YOixFKCZBbJP1-X4w,UCaT4saRcyqCLE657Rq2hhZQ,1
UCV3fr-YOixFKCZBbJP1-X4w,UCeQk-WfEA-cJRq4EKeE7TOw,1
UCV3fr-YOixFKCZBbJP1-X4w,UCfo_yUPzy1f1POwwZxhZ06Q,1
UCV3fr-YOixFKCZBbJP1-X4w,UCgGqw4aqMdMVSGkKiMgrJRQ,1
UCV3fr-YOixFKCZBbJP1-X4w,UCheEJ5GZuIvV0fj-nXyVwXw,1
UCV3fr-YOixFKCZBbJP1-X4w,UChyps3dqY-VY1_wLeq-2lhw,1
UCV3fr-YOixFKCZBbJP1-X4w,UCiOZX__1gahg1ypIj0_XG_w,1
UCV3fr-YOixFKCZBbJP1-X4w,UCjZgFEowMBrsjodqfovzdKw,1
UCV3fr-YOixFKCZBbJP1-X4w,UCoGdCoJg2Lh0OX_jv6cG16g,1
UCV3fr-YOixFKCZBbJP1-X4w,UCp29O_C7cchZV8IxV7Crdag,1
UCV3fr-YOixFKCZBbJP1-X4w,UCql1n3Ey6ULMSOACjMe-fxQ,1
UCV3fr-YOixFKCZBbJP1-X4w,UCtCtts20bW6F9CSohau51Iw,1
