nodo,grado,grado_ponderado,betweenness,closeness,pagerank,red,eigenvector_comp_mayor,tipo
UCLFdHr9BEbXHkoJopbEPLZw,1,2,0.0,0.22186561048893746,0.0021930837660868027,Bipartita,0.08853403253039882,autor
UCLXYp1Cvc5DLtq5UQL5D9vw,1,1,0.0,0.10232426303854876,0.0014900677837631294,Bipartita,1.1376327283817565e-08,autor
UCLggDc_a5HriXv7I1h02sOA,1,2,0.0,0.22186561048893746,0.0021930837660868027,Bipartita,0.08853403253039882,autor
UCLh1Kde4_vI1sTZBkTNP7RQ,1,1,0.0,0.12383747522488185,0.0016244245455000741,Bipartita,2.639970469224111e-06,autor
UCN2N_wYOw6fMwCeSzdXLPIw,1,1,0.0,0.170640756302521,0.0012735810348890395,Bipartita,0.00041358525581382504,autor
UCN6qbfPSzFtjhqUDZ3Cv3CQ,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCNBnKqWf4d-rS4HwJRQljmQ,1,2,0.0,0.22186561048893746,0.0021930837660868027,Bipartita,0.08853403253039882,autor
UCNIeXbV_mEwpa412h1aqUWw,1,3,0.0,0.170640756302521,0.0029660422499662637,Bipartita,0.0012407557674414444,autor
UCNiMNUJvaRJb0_QLClqwVnA,1,1,0.0,0.0065306122448979586,0.0018670735454650957,Bipartita,,autor
UCNkcuy42zEwddwEcOd_HpnA,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCNpt5CQlTzNjlAKY6CJtClQ,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UCO0zwwLWGyDgQmWPJ5Qrr1w,1,1,0.0,0.10232426303854876,0.0014900677837631294,Bipartita,1.1376327283817565e-08,autor
UCOARn3hnfkB7-_Rwa8Hoqcw,1,1,0.0,0.12227156405238597,0.0015691590271952158,Bipartita,1.5186531327348356e-06,autor
UCOLGv5Pf6BF2wFcwUzgcvHg,1,2,0.0,0.22186561048893746,0.0021930837660868027,Bipartita,0.08853403253039882,autor
UCOLHH4ZpMxPYF-Q6e6wvn5A,1,1,0.0,0.026448979591836733,0.0012806576023992745,Bipartita,,autor
UCOS8ViEkccrTZx2w2ccxotA,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCOY3XpD9qMCRSA8AA8c4CAw,1,1,0.0,0.12357371063441351,0.0015133016567510666,Bipartita,2.364779232601078e-06,autor
UCOcUI5XkTYNMSFhZNMIPpGg,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
