author_channel_id,author_name,n_comentarios,n_videos,grado
UCRcSR3Lvn9DZAmJpVPANfZQ,@WalksandSuch,1.0,1.0,24
UCRelkU8JiZBytTzebJxaa-w,@danyraymundo2942,1.0,1.0,127
UCRfkkatKrNtAARnXMMYBGlA,@BernerSoza-mg3vx,1.0,1.0,31
UCRlCV9zSn7avAWh-9_XFWqQ,@ronyarana8849,1.0,1.0,127
UCRvPToDkkumha7WJAfCDk1A,@ligiaguerra3057,1.0,1.0,48
UCRznz9-N3Qc1w-qNdLSIY2Q,@jimmygomez724,1.0,1.0,24
UCSTAUWVc1_82DHYeqOsqEFA,@TheAlexX_C,1.0,1.0,24
UCSou6a2OuYGSvPjm5psquyA,@FranciscoRivera-sf7ne,1.0,1.0,127
UCTD6q1nyIe3Y7HhqjaMj72w,@JuanChang-r6k,1.0,1.0,127
UCTP3O0rMnc8z8v8jaDQwL0w,@RobertoZelaya-x1v,1.0,1.0,127
UCTTILH6QCIxbTnEWxwRqs1g,@3762Jorge,1.0,1.0,15
UCThW2XNsAaBKme5PUt7n-Zg,@thelmamoran8565,1.0,1.0,127
UCTwSut16JyAg3mX6LVUNGqA,@SuperVictor2005,1.0,1.0,127
UCTylKrsqkrBKIqubMu_5N0Q,@edwingeovanymarroquinmarro6684,1.0,1.0,127
UCUIIIPTVDVHAXqhC_5V6lPA,@gorrarota,1.0,1.0,127
UCUoYsrx1oZnCZ0usbBJn4fA,@AnaDiaz-re9sq,1.0,1.0,48
UCV0iizTBoOfdAFX_thfI9BA,@BenjaminLarios-jd8nk,1.0,1.0,127
UCV0lM03g5fg5pbPj97-sAtA,@genarodelgado3929,1.0,1.0,48
UCV3fr-YOixFKCZBbJP1-X4w,@albertoshernandez5251,5.0,1.0,31
UCVC2QugcI1G4RvlCiUqd1aQ,@rwdm76,2.0,1.0,9
UCVQf0tzL7xRzFJsABVVULpg,@DennisseLopetegi,1.0,1.0,18
UCVdjCrh4tQoX3haNAZv-n5A,@aurahernandez5646,1.0,1.0,17
UCVhif9eV0f8plICen2DnpKA,@blogarteplus,1.0,1.0,5
UCW-JC6lebVmf2P1dmY_L94g,@dinoraoroxon5771,1.0,1.0,48
UCW80DaMjQlEUibC98Cot-Dg,@rogeraldana4289,1.0,1.0,48
UCWIZUtKJ636y-4TYrNvok0g,@cesarandreas7824,1.0,1.0,127
UCWWkebAekppaL5b5CNlppuw,@ninettmartinez425,1.0,1.0,2
UCWaRixDdpgllTBf4V0jPnKQ,@hectormaaz5523,2.0,1.0,31
UCWoAVGVqCn4xtINCMOTM4jg,@OmarMartinez-vv8re,1.0,1.0,48
UCWvntqPQx99k_Z_skWKqNSA,@AntonioChiyal-x5s,1.0,1.0,31
UCXN2s7DwTJm33xO-pNkAdaA,@edithsan7688,1.0,1.0,12
UCXO1BBohNWXkK9SBDAG2ySg,@JBFlute92,1.0,1.0,15
UCXSkL3ejZ8qWYyF_M7s_QKA,@JacintaTzoy,1.0,1.0,127
UCXVLc8CmAO813ubM-fLvCDw,@herminiasaquimux7565,1.0,1.0,15
UCXXh7yg5KUFIWylTiKVEFKQ,@MrDuenderojo,2.0,1.0,127
UCXgr7vXlRrsaskPdo097kGA,@Rogergh-nw4oj,1.0,1.0,127
UCXl30Y_upRqbti52fmjK4YA,@capitanfrans,1.0,1.0,15
UCXmrpc6Li0spcKxtS0Q_ptg,@melvinperez6710,1.0,1.0,24
UCXr8_5WtGeipe4haOoQDgyQ,@amyherrera7352,1.0,1.0,127
UCY7Hq7F9Lnucf-Yr6JkHZNw,@maynorcalel1442,1.0,1.0,24
UCYN4wSQ1Sx4_LurxLlW7MPg,@belarminavillatoro6474,1.0,1.0,127
UCYwpX26TrCxq8TvbKGRYLXA,@beneficioelcaminovillacana8540,1.0,1.0,127
UCZ51R_9Q9C0c8I3pAWhtmjQ,@belvettzapeta1251,1.0,1.0,127
UCZFQwqh90apuL8eFhvRBkUg,@luisricardo9671,1.0,1.0,31
UCZIQnb1fkwe39Iw2TAu-bGA,@jorgegomez2237,1.0,1.0,5
UCZLG9qH0tUjNhEGFIUt0CYw,@SoniaMarroquin-y6e,1.0,1.0,127
UCZOmq6MwFDVoCaEl99BRRaw,@daniloarevalo3170,1.0,1.0,9
UCZeIIQrGAedW8tCbKWmGY-A,@mariocordon8873,1.0,1.0,48
UCZjm6U576nX8WOiLhmMR3bw,@MariaNavarroYT,1.0,1.0,17
UC_3xuTXvMIWU5MYP9HkJ3vQ,@Historia-wm4os,1.0,1.0,12
UC_6KbBY1bsYXz9fwFS0eQRg,@imrcp5694,1.0,1.0,9
UC_LYoGs5C3mbZKZuKuqYCvw,@javiercifuentesarchila6041,1.0,1.0,48
UC_NRVt2UP88ZNTwzrZ66JSg,@aditalissethevasquezrojas8039,1.0,1.0,0
UC_ljZ1hZXR9pzexFz87P5ZA,@ChRiStOpHeR7969,1.0,1.0,24
UCa36MjQLoPAmgJo-R3G8WQA,@elsasalguero6914,1.0,1.0,31
UCaKAjTW9MVub_clgr4DRYjQ,@josecastillo4390,1.0,1.0,48
UCaT4saRcyqCLE657Rq2hhZQ,@elmilenial4064,1.0,1.0,31
UCaT6M2zp7X6r6Whd8Vv3kHQ,@alexarcos8349,1.0,1.0,24
UCat2qkYvqmtDNEmo2PVuhXw,@DoraSalas-j5o,1.0,1.0,17
UCbNanjFI51cwGqMAb2rOrBw,@RosaMontesdeOca777,1.0,1.0,17
UCbYoNG5J3Au5BqtbXogfEFw,@Luis-gn3fj,1.0,1.0,18
UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,2.0,2.0,23
UCcFIBN-rtC3d3hXeuN5TfWw,@DenisRMC,1.0,1.0,15
UCc_F88PzGWtA1OPNUEASulA,@rockyscarlet,1.0,1.0,15
UCcfdg8crmMJwEuLUsAhV7yg,@RolandoRaguay,1.0,1.0,127
UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,2.0,2.0,54
UCdQAuWwyC99MB7Y02Umj26Q,@miguelbran1268,1.0,1.0,15
UCe8JZoYkX5oKUZyivHYdXhw,@FernandoGarcia-jg1fj,1.0,1.0,48
UCeDNEtI8_a42bZ47wJiJMwQ,@EdgarcalderonCalderong,1.0,1.0,48
UCeQk-WfEA-cJRq4EKeE7TOw,@franciscojuarez9223,1.0,1.0,31
UCefAH1MbvADWUjE9WVcB9EQ,@jabriz8152,1.0,1.0,15
UCf5lnNZF7Qrtli9v4N_23WQ,@CarlosCortez-v5r,1.0,1.0,18
UCfM3nrxtTQMY5jFx1v1J4Gg,@edgarroldan5539,1.0,1.0,127
UCfRqgt2O-vjzUDMZY_tnxQw,@Williams-Garcia67E,1.0,1.0,6
UCfXykdbSU97rj987LDUGfvg,@MariaSantos-c8y3h,1.0,1.0,12
UCfjhejO7LZy4doXURa7LZCQ,@HonwayLee-z5g,1.0,1.0,12
UCfo_yUPzy1f1POwwZxhZ06Q,@lara11roberto,1.0,1.0,31
UCg3eIfd7BrsLEqS0BLkftHA,@ErmePérez-q4s,3.0,1.0,18
UCgGqw4aqMdMVSGkKiMgrJRQ,@pattyfigueroa5609,1.0,1.0,31
UCgJNFj5dnxXpcMvmuhZDPxA,@NataliaRodriguez-rx5mr,1.0,1.0,48
UCgLrWFdYitoP-b7-PxtUr-w,@zetag,1.0,1.0,24
UCgLurCo-e019HGODcjXHWCw,@perritojuega1,1.0,1.0,24
UCgQJgI9vu1FI2dnC9mrFthw,@srms70,1.0,1.0,18
UCgQw_Sbq3ugruDUKsq1e0-A,@marlenareano-h4t,1.0,1.0,48
UCgvw7xIdGFupzpt1Y_BFkEA,@fredygarcia9151,1.0,1.0,127
UCh5ESQvtzyHDhCA7XyekCFA,@andyB5280,3.0,1.0,127
UChT7pzGytNd92Nmvi-zuWog,@sparkvalkov,1.0,1.0,15
UChZknRmJkeGeQk0-mQuhDOg,@OdilioRodríguez-c5w,1.0,1.0,127
UCheEJ5GZuIvV0fj-nXyVwXw,@rosaoliva9389,1.0,1.0,31
UChep9kVb5gQmpodEEl10Xlg,@carlosaguilar-kz7ml,1.0,1.0,127
UChgkn5Jt5tWKYMoEOuCjz3Q,@pablochitay46,1.0,1.0,127
UChs3tU2BcKOT0CezykvAsGw,@byronpontaza,3.0,1.0,127
UChyps3dqY-VY1_wLeq-2lhw,@maydamorales4395,1.0,1.0,31
UCi-vPdnpQreC7BkFs40mJGA,@bryansicasales4280,1.0,1.0,24
UCi1b_TRQfgO1Z9O2gNGGWNA,@davidisraelesquitsaquil,2.0,1.0,127
UCi2KiZq63sRq8Mfbcp-MelQ,@eugeneramirez4405,6.0,1.0,17
UCiC-Jn7wdgyQV4_Urk0DkWQ,@pedroros6358,1.0,1.0,48
UCiGRBf2RNF0WRKhRVT7zFoA,@edwinavila4876,1.0,1.0,127
